iter	RMSE
0	1.653355381
1	1.526570357
2	1.422045221
3	1.314518674
4	1.212612877
5	1.125349003
6	1.044931822
7	0.973883917
8	0.9039278286
9	0.8414618841
10	0.783096117
11	0.729812133
12	0.6793132413
13	0.6367653124
14	0.5959141163
15	0.5649558981
16	0.5295164392
17	0.4974663462
18	0.4700375736
19	0.4418338472
20	0.4122670659
21	0.3893068946
22	0.3678847945
23	0.3470514677
24	0.3288833229
25	0.3136713846
26	0.2979948612
27	0.2827929951
28	0.2696992107
29	0.2572153522
30	0.2478773049
31	0.2389222144
32	0.2318599736
33	0.2246535754
34	0.21847048
35	0.2116036479
36	0.2057216466
37	0.1998687273
38	0.194188336
39	0.1898974167
40	0.1849512823
41	0.1798968738
42	0.1751586376
43	0.1719615565
44	0.1682668675
45	0.163570009
46	0.1592701963
47	0.1555378879
48	0.1520637687
49	0.1482372817
50	0.1437843334
51	0.1413702359
52	0.138786888
53	0.1360663246
54	0.133513232
55	0.1309649165
56	0.1292106424
57	0.1265270323
58	0.1251195704
59	0.1228645472
60	0.1217433974
61	0.1206632045
62	0.1191324426
63	0.1180494258
64	0.1168977208
65	0.1145625214
66	0.112594974
67	0.1114449405
68	0.1096595198
69	0.108710228
70	0.1073372752
71	0.1056952947
72	0.1044770594
73	0.1042274517
74	0.1026575602
75	0.1024280478
76	0.101205141
77	0.09948450228
78	0.09808976979
79	0.09701864843
80	0.09570267353
81	0.09448295114
82	0.09333163395
83	0.0922442763
84	0.09129833619
85	0.09029550836
86	0.0893480487
87	0.08835813201
88	0.0874955605
89	0.08660223028
90	0.08576929113
91	0.08481042916
92	0.08403196454
93	0.08330424821
