iter	Passed	Remaining
0	0	55
1	1	50
2	1	42
3	1	38
4	2	40
5	2	40
6	3	40
7	3	40
8	4	41
9	4	40
10	5	39
11	5	37
12	5	36
13	6	36
14	6	36
15	7	37
16	7	35
17	8	35
18	8	34
19	10	38
20	11	38
21	11	37
22	11	36
23	12	35
24	12	34
25	12	33
26	13	33
27	13	32
28	14	31
29	14	31
30	15	30
31	15	30
32	15	29
33	16	28
34	16	28
35	17	27
36	17	27
37	19	28
38	20	28
39	22	29
40	38	49
41	39	48
42	44	52
43	44	51
44	45	49
45	46	48
46	46	46
47	47	45
48	48	44
49	49	43
50	50	42
51	51	41
52	52	40
53	52	38
54	53	37
55	53	36
56	54	35
57	54	33
58	55	32
59	55	31
60	56	30
61	56	29
62	57	28
63	58	27
64	58	26
65	59	25
66	59	24
67	60	23
68	60	21
69	61	20
70	61	19
71	62	18
72	62	18
73	62	17
74	63	16
75	64	15
76	64	14
77	65	13
78	66	12
79	66	11
80	67	10
81	67	9
82	68	9
83	68	8
84	69	7
85	69	6
86	70	5
87	70	4
88	70	3
89	71	3
90	71	2
91	71	1
92	73	0
93	73	0
